sequential,parallel
0.021457,0.024535
0.020148,0.024655
0.020208,0.024913
0.020478,0.024991
0.020013,0.024795
0.020196,0.024449
0.020260,0.024211
0.020588,0.024754
0.020119,0.024616
0.020240,0.024754
0.020305,0.024758
0.020232,0.025216
0.020049,0.025256
0.020408,0.024637
0.020293,0.024767
0.020251,0.024367
0.020405,0.024912
0.020114,0.024720
0.019191,0.016698
0.020592,0.025624
0.020169,0.025688
0.020563,0.026463
0.020160,0.022524
0.020182,0.020104
0.017830,0.023580
0.020544,0.026030
0.020260,0.031737
0.017663,0.014231
0.018833,0.033446
0.024869,0.032215
0.022231,0.028756
0.021198,0.025808
0.019967,0.013982
0.020424,0.024499
0.020434,0.024705
0.020227,0.024866
0.020150,0.024671
0.019601,0.024716
0.020136,0.024210
0.019341,0.025602
0.020080,0.029611
0.020629,0.019052
0.020632,0.025862
0.018860,0.024436
0.020592,0.024770
0.020174,0.024167
0.020613,0.024794
0.020124,0.025346
0.020462,0.024833
0.019636,0.033164
0.022633,0.025194
0.020100,0.019279
0.018208,0.026311
0.023915,0.026191
0.022617,0.026870
0.019503,0.034785
0.014131,0.028554
0.020798,0.024275
0.017940,0.023141
0.019186,0.030618
0.023566,0.032167
0.025289,0.026105
0.019587,0.024745
0.020130,0.024641
0.020432,0.024761
0.019445,0.030254
0.022386,0.030065
0.021501,0.024506
0.018535,0.015602
0.020521,0.024601
0.020355,0.024744
0.020163,0.024521
0.020194,0.024657
0.020063,0.024187
0.020086,0.025686
0.020153,0.025314
0.020130,0.024794
0.020190,0.024870
0.020266,0.024609
0.019347,0.024755
0.020118,0.025182
0.019356,0.017132
0.023513,0.030680
0.020816,0.025641
0.020445,0.024510
0.020396,0.025776
0.020326,0.026565
0.021738,0.025307
0.020195,0.020956
0.023379,0.031427
0.019850,0.025390
0.021316,0.024771
0.019504,0.024648
0.020055,0.025112
0.020256,0.025533
0.020147,0.024732
0.018664,0.024288
0.019259,0.024856
0.020361,0.024829
0.020061,0.024626
0.020118,0.024763
0.020378,0.024840
0.020162,0.025093
0.020134,0.025332
0.020208,0.024929
0.020121,0.024526
0.020111,0.026033
0.020184,0.026452
0.016223,0.023857
0.022110,0.026201
0.021044,0.025427
0.021121,0.024934
0.020235,0.024483
0.020149,0.024928
0.020220,0.024883
0.020218,0.024860
0.020234,0.025431
0.020046,0.025576
0.020276,0.026067
0.020239,0.022397
0.019120,0.024540
0.020577,0.024895
0.020256,0.025083
0.020221,0.024435
0.020274,0.024702
0.020281,0.024560
0.020736,0.025740
0.020107,0.029573
0.020430,0.025664
0.020196,0.024384
0.020426,0.024501
0.020031,0.013887
0.020601,0.033325
0.023018,0.024450
0.019215,0.019619
0.019313,0.031176
0.023966,0.026009
0.020845,0.024924
0.019655,0.013839
0.020754,0.026329
